River_Sta,River,Reach,Gage,date,Event,Run_type,Run_num,Type,value
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 18:00,2001,Calibration,1,Obs_WS,573.4899902
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 18:00,2001,Calibration,1,Model_Q,60787.3125
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 19:00,2001,Calibration,1,WS_Elev,573.7537231
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 19:00,2001,Calibration,1,Model_Q,60200.02734
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 20:00,2001,Calibration,1,WS_Elev,573.730835
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 20:00,2001,Calibration,1,Model_Q,59666.66016
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 21:00,2001,Calibration,1,WS_Elev,573.7131958
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 21:00,2001,Calibration,1,Model_Q,59458.80078
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 22:00,2001,Calibration,1,WS_Elev,573.6984253
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 22:00,2001,Calibration,1,Model_Q,59363.69141
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 23:00,2001,Calibration,1,WS_Elev,573.6853027
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 23:00,2001,Calibration,1,Model_Q,59320.17969
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/5/2001 0:00,2001,Calibration,1,WS_Elev,573.6730347
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/5/2001 0:00,2001,Calibration,1,Obs_WS,573.5999756
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/5/2001 0:00,2001,Calibration,1,Model_Q,59305.29688
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/5/2001 1:00,2001,Calibration,1,WS_Elev,573.6786499
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/5/2001 1:00,2001,Calibration,1,Model_Q,59991.72266
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/5/2001 2:00,2001,Calibration,1,WS_Elev,573.6963501
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/5/2001 2:00,2001,Calibration,1,Model_Q,60486.59375
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/5/2001 3:00,2001,Calibration,1,WS_Elev,573.7099609
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/5/2001 3:00,2001,Calibration,1,Model_Q,60694.06641
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/5/2001 4:00,2001,Calibration,1,WS_Elev,573.7211914
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/5/2001 4:00,2001,Calibration,1,Model_Q,60810.30859
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/5/2001 5:00,2001,Calibration,1,WS_Elev,573.7310791
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/5/2001 5:00,2001,Calibration,1,Model_Q,60872.63672
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/5/2001 6:00,2001,Calibration,1,WS_Elev,573.7402954
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/5/2001 6:00,2001,Calibration,1,Obs_WS,573.7199707
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/5/2001 6:00,2001,Calibration,1,Model_Q,60910.31641
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/5/2001 7:00,2001,Calibration,1,WS_Elev,573.7622681
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/5/2001 7:00,2001,Calibration,1,Model_Q,61458.28516
